occurrenceID,type,language,datasetName,basisOfRecord,sex,lifeStage,occurrenceStatus,organismID,organismName,organismRemarks,eventID,samplingProtocol,eventDate,eventRemarks,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,kingdom
5340-L916205,Event,en,,HumanObservation,male,adult,present,L916205,Noel,Noel,5340-L916205,"tag deployment",2016-06-07T12:00:00Z,OOST_MIJN,51.23292344,2.93118801,WGS84,"Larus fuscus",Animalia
5320-L916207,Event,en,,HumanObservation,male,adult,present,L916207,Romelo,Romelo,5320-L916207,"tag deployment",2016-06-07T12:00:00Z,OOST_MIJN,51.23292344,2.93118801,WGS84,"Larus fuscus",Animalia
5545-5423625,Event,en,,HumanObservation,male,adult,present,5423625,Sergio,Sergio,5545-5423625,"tag deployment",2017-05-19T12:00:00Z,VLIS_EPZ,51.43933093,3.70729746,WGS84,"Larus fuscus",Animalia
5542-5501123,Event,en,,HumanObservation,female,adult,present,5501123,Aurelie,Aurelie,5542-5501123,"tag deployment",2017-05-19T12:00:00Z,VLIS_EPZ,51.43923876,3.70744512,WGS84,"Larus fuscus",Animalia
5550-5519750,Event,en,,HumanObservation,female,adult,present,5519750,Raissa,Raissa,5550-5519750,"tag deployment",2017-05-23T12:00:00Z,VLIS_THER,51.43913175,3.70778844,WGS84,"Larus fuscus",Animalia
5201-5509730,Event,en,,HumanObservation,female,adult,present,5509730,Lissa,Lissa,5201-5509730,"tag deployment",2017-05-23T12:00:00Z,"VLIS_EPZ | Tracker reused from L910466.",51.43931901,3.70714471,WGS84,"Larus fuscus",Animalia
5540-5509702,Event,en,,HumanObservation,female,adult,present,5509702,Coco,Coco,5540-5509702,"tag deployment",2017-05-23T12:00:00Z,VLIS_EPZ,51.43934576,3.70753095,WGS84,"Larus fuscus",Animalia
5538-5509716,Event,en,,HumanObservation,female,adult,present,5509716,Lucia,Lucia,5538-5509716,"tag deployment",2017-05-23T12:00:00Z,VLIS_EPZ,51.43939926,3.70705888,WGS84,"Larus fuscus",Animalia
5543-5519709,Event,en,,HumanObservation,male,adult,present,5519709,Mike,Mike,5543-5519709,"tag deployment",2017-05-23T12:00:00Z,VLIS_EPZ,51.43907825,3.70761678,WGS84,"Larus fuscus",Animalia
5537-5420250,Event,en,,HumanObservation,male,adult,present,5420250,Luis,Luis,5537-5420250,"tag deployment",2017-05-23T12:00:00Z,VLIS_EPZ,51.43921201,3.70731637,WGS84,"Larus fuscus",Animalia
5534-L905052,Event,en,,HumanObservation,female,adult,present,L905052,Sofia,Sofia,5534-L905052,"tag deployment",2017-05-23T12:00:00Z,VLIS_EPZ,51.43923876,3.70770261,WGS84,"Larus fuscus",Animalia
5487-5519736,Event,en,,HumanObservation,female,adult,present,5519736,Liset,Liset,5487-5519736,"tag deployment",2017-05-29T12:00:00Z,VLIS_THER,51.4492158,3.68989275,WGS84,"Larus fuscus",Animalia
5535-5519735,Event,en,,HumanObservation,female,adult,present,5519735,Lieke,Lieke,5535-5519735,"tag deployment",2017-05-29T12:00:00Z,VLIS_EPZ,51.43918525,3.70744512,WGS84,"Larus fuscus",Animalia
5536-L925752,Event,en,,HumanObservation,female,adult,present,L925752,Elke,Elke,5536-L925752,"tag deployment",2017-05-31T12:00:00Z,ZEEB_KLVL,51.34880509,3.17357361,WGS84,"Larus fuscus",Animalia
5544-L925751,Event,en,,HumanObservation,female,adult,present,L925751,Tamara,Tamara,5544-L925751,"tag deployment",2017-05-31T12:00:00Z,ZEEB_BUS,51.34517066,3.17311924,WGS84,"Larus fuscus",Animalia
5492-L925726,Event,en,,HumanObservation,male,adult,present,L925726,Daan,Daan,5492-L925726,"tag deployment",2017-06-02T12:00:00Z,"ZEEB_BUS | No tracking data received.",51.34526448,3.17311924,WGS84,"Larus fuscus",Animalia
5549-5509720,Event,en,,HumanObservation,female,adult,present,5509720,Fiona,Fiona,5549-5509720,"tag deployment",2017-06-05T12:00:00Z,VLIS_THER,51.44918906,3.689764,WGS84,"Larus fuscus",Animalia
5539-5519662,Event,en,,HumanObservation,female,adult,present,5519662,Iris,Iris,5539-5519662,"tag deployment",2017-06-05T12:00:00Z,VLIS_EPZ,51.43907825,3.70787427,WGS84,"Larus fuscus",Animalia
5489-L925727,Event,en,,HumanObservation,male,adult,present,L925727,Jef,Jef,5489-L925727,"tag deployment",2017-06-07T12:00:00Z,ZEEB_KLVL,51.34774397,3.172733,WGS84,"Larus fuscus",Animalia
5548-L925728,Event,en,,HumanObservation,female,adult,present,L925728,Els,Els,5548-L925728,"tag deployment",2017-06-07T12:00:00Z,ZEEB_KLVL,51.34747592,3.17277592,WGS84,"Larus fuscus",Animalia
5495-5509663,Event,en,,HumanObservation,female,adult,present,5509663,Maaike,Maaike,5495-5509663,"tag deployment",2017-06-08T12:00:00Z,VLIS_EPZ,51.43939926,3.70753095,WGS84,"Larus fuscus",Animalia
5493-5509729,Event,en,,HumanObservation,female,adult,present,5509729,Nina,Nina,5493-5509729,"tag deployment",2017-06-08T12:00:00Z,VLIS_EPZ,51.439105,3.70774553,WGS84,"Larus fuscus",Animalia
5546-L917359,Event,en,,HumanObservation,male,adult,present,L917359,Diederik,Diederik,5546-L917359,"tag deployment",2017-06-12T12:00:00Z,"ZEEB_KLVL | No tracking data within track session.",51.34763675,3.17260426,WGS84,"Larus fuscus",Animalia
5494-5519664,Event,en,,HumanObservation,male,adult,present,5519664,Tommaso,Tommaso,5494-5519664,"tag deployment",2017-06-13T12:00:00Z,VLIS_THER,51.44945651,3.68959234,WGS84,"Larus fuscus",Animalia
5716-5543128,Event,en,,HumanObservation,female,adult,present,5543128,Asun,Asun,5716-5543128,"tag deployment",2018-05-22T12:00:00Z,VLIS_NIEU,51.44774876,3.69670105,WGS84,"Larus fuscus",Animalia
5713-5508292,Event,en,,HumanObservation,female,adult,present,5508292,Annick,Annick,5713-5508292,"tag deployment",2018-05-24T12:00:00Z,VLIS_ACHT,51.45444147,3.68617058,WGS84,"Larus fuscus",Animalia
5718-5543130,Event,en,,HumanObservation,male,adult,present,5543130,Klaus,Klaus,5718-5543130,"tag deployment",2018-05-24T12:00:00Z,VLIS_NIEU,51.44761503,3.69694233,WGS84,"Larus fuscus",Animalia
5707-5543129,Event,en,,HumanObservation,male,adult,present,5543129,Tom,Tom,5707-5543129,"tag deployment",2018-05-24T12:00:00Z,VLIS_ACHT,51.45471558,3.68578434,WGS84,"Larus fuscus",Animalia
5721-5543134,Event,en,,HumanObservation,male,adult,present,5543134,Claudio,Claudio,5721-5543134,"tag deployment",2018-05-24T12:00:00Z,VLIS_NIEU,51.44750805,3.69647026,WGS84,"Larus fuscus",Animalia
5723-5543133,Event,en,,HumanObservation,male,adult,present,5543133,Abbo,Abbo,5723-5543133,"tag deployment",2018-05-24T12:00:00Z,VLIS_ACHT,51.45454175,3.68634224,WGS84,"Larus fuscus",Animalia
5547-5543131,Event,en,,HumanObservation,male,adult,present,5543131,Gerrit,Gerrit,5547-5543131,"tag deployment",2018-05-24T12:00:00Z,VLIS_NIEU,51.44736094,3.69672775,WGS84,"Larus fuscus",Animalia
5724-5543137,Event,en,,HumanObservation,female,adult,present,5543137,Jessica,Jessica,5724-5543137,"tag deployment",2018-05-29T12:00:00Z,VLIS_NIEU,51.44752142,3.69655609,WGS84,"Larus fuscus",Animalia
5714-5543138,Event,en,,HumanObservation,male,adult,present,5543138,Eef,Eef,5714-5543138,"tag deployment",2018-05-29T12:00:00Z,VLIS_THER,51.4495006,3.68938923,WGS84,"Larus fuscus",Animalia
5720-L926488,Event,en,,HumanObservation,female,adult,present,L926488,Jelbrich,Jelbrich,5720-L926488,"tag deployment",2018-05-31T12:00:00Z,ZEEB_KLVL,51.34826566,3.17311764,WGS84,"Larus fuscus",Animalia
5719-L907268,Event,en,,HumanObservation,male,adult,present,L907268,Rune,Rune,5719-L907268,"tag deployment",2018-05-31T12:00:00Z,ZEEB_KLVL,51.34813163,3.17290306,WGS84,"Larus fuscus",Animalia
5736-L926492,Event,en,,HumanObservation,male,adult,present,L926492,Kenny,Kenny,5736-L926492,"tag deployment",2018-06-05T00:00:00Z,ZEEB_BUS,51.34894,3.17362,WGS84,"Larus fuscus",Animalia
5737-L926494,Event,en,,HumanObservation,male,adult,present,L926494,Juan,Juan,5737-L926494,"tag deployment",2018-06-05T00:00:00Z,ZEEB_BUS,51.34894,3.17362,WGS84,"Larus fuscus",Animalia
5734-L901819,Event,en,,HumanObservation,male,adult,present,L901819,Ezra,Ezra,5734-L901819,"tag deployment",2018-06-05T00:00:00Z,ZEEB_KLVL,51.348943,3.173623,WGS84,"Larus fuscus",Animalia
5728-5508363,Event,en,,HumanObservation,female,adult,present,5508363,Janna,Janna,5728-5508363,"tag deployment",2018-06-05T00:00:00Z,VLIS_ACHT,51.4495,3.689,WGS84,"Larus fuscus",Animalia
5739-L915090,Event,en,,HumanObservation,male,adult,present,L915090,Camille,Camille,5739-L915090,"tag deployment",2018-06-05T00:00:00Z,VLIS_ACHT,51.4495,3.689,WGS84,"Larus fuscus",Animalia
